"TF","CellType","Log2FC_Degen_vs_Normal"
"TCF7L2","Meniscus-Progenitor",0.218052597994686
"SMAD1","Secretory-Chondrocyte",0.217225119849982
"TBX5","FC-Degenerated",-0.214947504017494
"HEY1","Endothelial",-0.211522963156876
"EPAS1","Proliferating-S",0.210570086025279
"RUNX2","Secretory-Chondrocyte",0.210511659723581
"MYC","Meniscus-Progenitor",0.206767386549605
"CDKN2A","Endothelial",0.206312943800331
"SNAI1","FC-Regulatory",-0.205109434295533
"TCF7L2","Macrophage",0.202792848630107
"ZEB1","Smooth-Muscle",-0.199822375441816
"FOXO1","Meniscus-Progenitor",-0.199045333334795
"SNAI1","Secretory-Chondrocyte",0.197729545117893
"PITX1","Stem-Progenitor",-0.195381398577899
"CTNNB1","Proliferating-M",-0.194823950069669
"REL","Endothelial",-0.192812019784899
"TCF7L2","FC-ECM",0.192048277509186
"FOXO3","FC-Degenerated",0.190549812877396
"SMAD4","Proliferating-G2M",-0.189957468142227
"ERG","Proliferating-M",-0.189664074020615
"NFKB1","Proliferating-S",-0.189333531199517
"JUN","Proliferating-G2M",-0.188724316652983
"SNAI2","Proliferating-M",0.186222150871795
"FOXO1","FC-Metabolic",-0.184599183387948
"ETS2","Meniscus-Progenitor",-0.184358180533405
"STAT3","Macrophage",0.184239562630796
"ERG","Male-Inflammatory",0.184062696708949
"SMAD1","Male-Inflammatory",0.181416855346574
"LEF1","Endothelial",0.180736466340206
"ETS2","FC-ECM",0.179609452451203
"HES1","Proliferating-M",-0.176938470610512
"CDKN2A","Proliferating-G2M",0.176727037894404
"SOX6","FC-Metabolic",0.173742254416969
"STAT3","FC-Regulatory",0.171077648857208
"RUNX2","Macrophage",0.168506410715889
"TWIST1","FC-Metabolic",0.166378098682601
"REL","Secretory-Chondrocyte",0.1648736387718
"FOXO3","Macrophage",-0.163233073486956
"SOX6","Smooth-Muscle",-0.162615137487745
"SMAD3","Endothelial",0.162002334573253
"SNAI1","FC-ECM",-0.161799063417547
"SOX6","Endothelial",-0.161206486146026
"ZEB1","Proliferating-S",0.158664528262512
"FOXO1","Smooth-Muscle",-0.158155548710857
"FOXO1","FC-Regulatory",0.157096232095239
"CDKN2A","Secretory-Chondrocyte",0.156539066773397
"MYC","Proliferating-G2M",-0.155940304120765
"TBX5","FC-Metabolic",-0.155823241466106
"SNAI1","FC-Degenerated",-0.155321516529769
"SNAI1","Proliferating-G2M",-0.154903467968153
"FOXO1","Proliferating-M",-0.154646381528847
"FOXO3","Proliferating-S",-0.152035982722976
"SOX9","Meniscus-Progenitor",-0.150809808260357
"CDKN2A","Proliferating-S",0.150493783178166
"REL","Proliferating-G2M",-0.147955977669177
"SMAD5","Proliferating-G2M",0.145576094511967
"SMAD1","Proliferating-S",0.145376341692973
"TBX5","FC-ECM",-0.145353606049553
"SOX9","Male-Inflammatory",-0.144371358867848
"SMAD4","FC-Regulatory",-0.144098394704597
"RUNX2","FC-Regulatory",-0.144016045897064
"SMAD1","Proliferating-G2M",0.143226496096622
"PITX1","Endothelial",0.141614302975327
"SMAD2","Stem-Progenitor",-0.140711682378181
"STAT1","FC-Regulatory",-0.140665326476525
"ERG","Meniscus-Progenitor",-0.13998469969837
"MYC","OuterZone-FC",-0.138616480482298
"CTNNB1","Smooth-Muscle",-0.138601924206524
"HEY1","Stem-Progenitor",-0.137754415625873
"MYC","Proliferating-M",-0.13670416534183
"HOXA13","Male-Inflammatory",0.135390316685673
"SNAI2","Macrophage",-0.135364656556817
"RBPJ","FC-ECM",0.132954498880007
"SMAD1","FC-ECM",0.130838847597371
"ERG","Macrophage",-0.128223315870946
"REL","Male-Inflammatory",0.125595749790335
"RUNX1","Meniscus-Progenitor",-0.124989486345316
"SMAD4","FC-ECM",-0.12474766241645
"TBX5","Smooth-Muscle",-0.124168860268583
"ERG","Endothelial",-0.122081932302104
"ETS1","FC-ECM",-0.121676966968537
"SNAI1","OuterZone-FC",-0.121481604621394
"NFKB2","Proliferating-G2M",0.120361048640756
"HES1","Proliferating-S",-0.118496683842525
"RUNX2","OuterZone-FC",-0.117255551551105
"JUNB","Proliferating-S",-0.116873386181337
"SMAD2","Proliferating-S",0.116285130677241
"ETS2","Endothelial",0.113945464527923
"STAT5A","Proliferating-M",0.113739396003313
"STAT5A","Proliferating-G2M",0.112509274046455
"FOS","FC-Regulatory",-0.112478029716211
"RUNX2","Proliferating-S",-0.112065566664626
"TP53","FC-ECM",0.111324461588938
"JUNB","FC-Regulatory",0.110303872329015
"SOX5","FC-Degenerated",0.110286907668651
"MYC","FC-ECM",-0.109150495629683
"TWIST1","Macrophage",-0.108418832748548
"RUNX2","Smooth-Muscle",-0.10836038798773
"SMAD1","Proliferating-M",-0.108255716544281
"HES1","FC-Degenerated",0.107608744113331
"RUNX2","FC-Degenerated",0.106825466255626
"JUN","FC-ECM",0.104823408718745
"STAT1","Proliferating-G2M",0.103727342967284
"SOX6","Male-Inflammatory",0.102680819781258
"TBX5","Secretory-Chondrocyte",0.102113508826725
"CTNNB1","Endothelial",0.102092133085589
"ETS1","FC-Regulatory",0.101980758774859
"TCF7L2","Proliferating-S",0.101129468980287
"TP53","Proliferating-S",-0.100499823632345
"SOX6","Macrophage",0.0997036138717091
"SNAI1","FC-Metabolic",-0.0991581174817564
"RUNX1","FC-Regulatory",0.0985453677115726
"SOX6","OuterZone-FC",-0.0960942105820544
"RUNX2","Male-Inflammatory",0.0960203967945336
"ERG","Proliferating-S",-0.0953065422949937
"TWIST1","FC-Degenerated",0.0952396868401676
"SOX6","FC-ECM",0.0950982103451575
"HEY1","Meniscus-Progenitor",-0.0945492269503893
"HOXA13","Smooth-Muscle",-0.0934777086738793
"TBX5","Male-Inflammatory",0.0922696082761823
"CDKN2A","Macrophage",0.0908614544151995
"RBPJ","Macrophage",-0.0906217301128276
"SOX6","Meniscus-Progenitor",-0.0899125455880568
"STAT3","Endothelial",-0.0898839720790079
"RUNX2","Endothelial",0.0896623511220428
"PITX1","FC-Degenerated",-0.0895687729978055
"ERG","Secretory-Chondrocyte",0.088299658252174
"LEF1","FC-Degenerated",-0.0874869029182514
"STAT3","Secretory-Chondrocyte",-0.0873581952967872
"RUNX2","Proliferating-G2M",0.0872923820444134
"SMAD1","Meniscus-Progenitor",-0.0859000333507543
"CDKN2A","FC-Degenerated",0.0851621906202789
"ERG","FC-Metabolic",-0.0850275515738871
"NFKB1","Meniscus-Progenitor",0.084732704061691
"MYC","FC-Regulatory",-0.0821723123259402
"SOX6","Proliferating-M",-0.0820199476503118
"SMAD4","Proliferating-S",0.0807968899715741
"FOXO1","Proliferating-G2M",0.0798864008529597
"MYC","Stem-Progenitor",-0.0795573101802363
"ERG","Stem-Progenitor",-0.0795573101802363
"TCF7L2","Endothelial",-0.077286477561636
"NFKB2","Male-Inflammatory",-0.0768499719002937
"RELA","FC-Regulatory",-0.0749466156403757
"SOX5","Proliferating-S",0.0726668298806885
"CDKN2A","Proliferating-M",-0.0724373435567388
"HEY1","Smooth-Muscle",-0.0698308483366838
