"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.07186768115181e-05,0.53638415291122,0.395,0.351,1,"3","ZBTB21"
5.28558661013468e-05,0.766873029520262,0.315,0.269,1,"3","JMJD1C"
5.44328910617071e-05,0.528256504899203,0.445,0.42,1,"3","MAPKAP1"
5.61546799787607e-05,0.673386052895913,0.343,0.301,1,"3","MED10"
5.66240957230684e-05,0.524065037057735,0.44,0.425,1,"3","FRG1"
5.87393814053357e-05,0.530218695953802,0.412,0.377,1,"3","SLAIN2"
6.16525299153335e-05,0.555663183014496,0.414,0.383,1,"3","WBP4"
6.47580341984935e-05,0.74046597492879,0.308,0.262,1,"3","NCS1"
6.72249421001885e-05,0.624024573575296,0.364,0.322,1,"3","MED13"
6.90790383302602e-05,0.553648321109637,0.378,0.338,1,"3","RICTOR"
6.91869193421454e-05,0.572442192186179,0.364,0.324,1,"3","KAT6A"
6.95199559486475e-05,0.751963269148322,0.278,0.226,1,"3","TAF2"
7.27018966839973e-05,0.507514876412333,0.408,0.372,1,"3","MTIF2"
7.96525061579943e-05,0.62719873177878,0.321,0.272,1,"3","SLC29A1"
8.12233075865671e-05,0.633893794025694,0.349,0.308,1,"3","SAP30BP"
8.83406626836777e-05,0.588020890012036,0.365,0.321,1,"3","COPS5"
9.09466372871434e-05,0.790270017263209,0.332,0.298,1,"3","ANKRD10"
9.65018792156924e-05,0.564321845370608,0.416,0.391,1,"3","MRPL22"
9.7633176678531e-05,0.714040669419773,0.302,0.259,1,"3","CCDC43"
9.83678567650998e-05,0.835562433254689,0.25,0.199,1,"3","MDM4"
0.000101733917969908,0.752788105023719,0.284,0.233,1,"3","ETV3"
0.00010310699976248,0.615990795964737,0.388,0.359,1,"3","SMU1"
0.000110085201419858,0.52193816314805,0.44,0.424,1,"3","TNPO3"
0.000115160485951794,0.576825909278232,0.377,0.334,1,"3","ATG4B"
0.000115345479079189,0.582894296084491,0.358,0.314,1,"3","PBDC1"
0.000116294312909009,0.511044275855512,0.473,0.472,1,"3","GCH1"
