"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","receptor","cell_type"
0.383892263142173,0.923867846186722,0.15,0.083,1,"EDA2R","Endothelial"
0.400277072548908,0.485948754503673,0.2,0.119,1,"SV2A","Endothelial"
0.406424573430827,0.825831428832324,0.2,0.131,1,"CADM1","Endothelial"
0.429560783331204,-0.214491889029766,0.5,0.75,1,"PDGFRA","Endothelial"
0.430837889427488,-0.47834002329726,0.1,0.179,1,"FZD2","Endothelial"
0.435987167925351,-0.203760048854493,0.65,0.821,1,"NRP1","Endothelial"
0.438318770947656,0.270844905076866,0.65,0.655,1,"AXL","Endothelial"
0.470166444984828,-1.00913705280449,0.1,0.155,1,"NRCAM","Endothelial"
0.486752875688097,0.306790759156493,0.25,0.179,1,"IL17RC","Endothelial"
0.497693885742762,-0.611733517857741,0.25,0.31,1,"PLXNA1","Endothelial"
0.522153364632703,1.96023171425081,0.05,0.024,1,"CHRNA5","Endothelial"
0.524678445425962,1.02422912016353,0.1,0.06,1,"PLXNB1","Endothelial"
0.525713292094877,0.472150116790636,0.3,0.238,1,"ITGA10","Endothelial"
0.534448467177546,0.282644260567247,0.8,0.702,1,"ITGAV","Endothelial"
0.537224248130841,-0.467485061065458,0.3,0.357,1,"CDH11","Endothelial"
0.538572087653208,-0.107753005903013,0.55,0.679,1,"ACVRL1","Endothelial"
0.548076573923149,0.738511224091609,0.25,0.202,1,"ITGB8","Endothelial"
0.559800358905831,0.809499800746271,0.05,0.024,1,"ACVR2A","Endothelial"
0.559800358905831,1.24707877362457,0.05,0.024,1,"MERTK","Endothelial"
0.559800358905831,0.60166601590827,0.05,0.024,1,"EPHB3","Endothelial"
0.570991432986025,0.796908579981392,0.05,0.095,1,"NECTIN3","Endothelial"
0.572519363075349,0.502520520086686,0.35,0.31,1,"EPHB4","Endothelial"
0.580007303405425,-0.776212632810855,0.05,0.083,1,"NPR3","Endothelial"
0.580007303405425,-0.596249077948978,0.05,0.083,1,"TMIGD3","Endothelial"
0.582555506174617,0.535584634356857,0.4,0.357,1,"CD40","Endothelial"
0.603210791314557,0.706853767642154,0.25,0.202,1,"DAG1","Endothelial"
0.621338471029371,0.448825428867381,0.25,0.214,1,"IL15RA","Endothelial"
0.628756210794321,-0.599229775477454,0.15,0.19,1,"CD74","Endothelial"
0.630985193463327,0.484797099488192,0.2,0.155,1,"CMKLR1","Endothelial"
0.635244194718461,-0.108935471350458,0.6,0.69,1,"PLXNA2","Endothelial"
0.639996819973722,-0.308431211453273,0.2,0.25,1,"PLXNA3","Endothelial"
